bpm,loudness,year,title
92.198,-11.197,0,I Didn't Mean To
121.274,-9.843,1969,Soul Deep
100.07,-9.689,0,Amor De Cabaret
119.293,-9.013,1982,Something Girls
129.738,-4.501,2007,Face the Ashes
147.782,-9.323,0,The Moon And I (Ordinary Day Album Version)
111.787,-17.302,0,Keepin It Real (Skit)
101.43,-11.642,0,Drop of Rain
86.643,-13.496,1984,Pink World
114.041,-6.697,0,Insatiable (Instrumental Version)
146.765,-10.021,0,Young Boy Blues
117.975,-7.545,0,The Urgency (LP Version)
130.04,-6.632,0,La Culpa
137.334,-7.75,0,Auguri Cha Cha
125.197,-8.346,1986,Tonight Will Be Alright
119.826,-8.576,1987,Floating
127.756,-16.11,0,High Tide
99.273,-8.032,0,Sohna Nee Sohna Data
150.062,-5.271,2004,Caught In A Dream
138.331,-6.787,0,Synthetic Dream
86.186,-15.221,0,Broken-Down Merry-Go-Round
110.382,-8.514,0,Kassie Jones
111.874,-8.05,0,Setanta matins
166.862,-4.264,2004,Setting Fire to Sleeping Giants
137.522,-12.332,1985,James (Hold The Ladder Steady)
164.672,-5.908,0,Made Like This (Live)
125.006,-6.486,0,Superconfidential
90.022,-4.516,2005,I Think My Wife Is Running Around On Me (Taco Hell)
127.025,-9.616,1997,Spanish Grease
95.957,-18.051,1961,Crazy Mixed Up World
110.189,-11.939,1972,Do You Finally Need A Friend
138.007,-15.335,0,The Emperor Falls
130.1,-10.922,1964,Twist and Shout
160.839,-9.983,1992,It Makes No Difference Now
41.993,-7.762,0,Laws Patrolling (Album Version)
189.646,-9.512,1997,¿Dónde va Chichi?
130.586,-9.063,0,"Barking Dogs (From ""Piouhgd"")"
128.292,-8.879,0,OUTE ENA EFHARISTO
90.932,-17.699,0,Midnight Swim
89.667,-19.478,0,In A Subtle Way
115.061,-7.469,2007,Spin
115.887,-2.022,2003,Burning In The Aftermath
139.333,-10.358,0,Angie (1993 Digital Remaster)
117.271,-12.716,0,Sabor Guajiro
102.428,-15.663,1995,Human Cannonball
89.984,-6.944,2004,Glory Be
116.721,-7.805,1992,Crossfire
123.142,-10.7,2002,I Can't Be Satisfied
141.919,-10.93,2006,Nashville Parthenon
95.596,-9.493,1995,Cocain Ducks
154.953,-9.253,1974,Human Being
86.091,-12.009,2009,The More I See You
90.218,-11.043,1997,Certain Things We Do
133.144,-11.506,1977,Forming
205.317,-14.179,0,Mafuá
180.149,-8.531,1986,Driving Home For Christmas
102.538,-8.541,1966,Spooks In Space
84.164,-6.629,1985,Tous Les Garçons Et Les Filles
124.175,-13.33,1995,Too Much Saturn
137.004,-12.412,1997,Movement 4 [from Kiss] (Album Version)
106.33,-21.552,0,Stream
107.961,-8.686,0,Make Me Over
174.287,-6.222,2000,Deform (live)
116.823,-5.907,2003,Wicker Chair
101.972,-4.638,0,An ti chans'
127.97,-5.884,0,I Will Love Again (JJ's Club Radio)
152.622,-7.787,1992,Stickin In My Eye
110.787,-8.488,0,Ota kiinni
112.903,-9.603,1990,Entre Caníbales
115.642,-26.266,1985,Rosemary Recalls
125.013,-6.305,2000,Sudanese Dance
113.277,-9.998,0,Where The Thunder Roars (Tales Of Wonder Album Version)
96.979,-9.161,1997,Wanna Be A Player
140.995,-4.865,0,Panama (Remastered Album Version)
105.206,-4.882,2004,Let's Get It Started
63.017,-12.951,2000,Metal
144.603,-11.751,0,She Fell Away (2009 Digital Remaster)
167.92,-6.693,0,Next Time
129.122,-9.091,1963,It's My Party
132.022,-2.658,2001,Complicate It
183.92,-4.42,2005,Monde De Fou
89.867,-11.051,0,Opus a Satana (Part 2)
119.896,-9.97,0,This Melody (Live)
137.29,-11.335,0,I'm Gone This Time
82.343,-15.581,2002,You Feel Good All Over
91.487,-11.98,1990,Indian Love Call
84.69,-11.215,1999,You Can Still Be Free
115.606,-8.165,2005,I Never Came
126.523,-12.69,0,Dixie
113.677,-8.7,1990,Commercial Reign
86.938,-5.758,0,Hourglass
141.936,-4.907,0,Wake
106.049,-8.133,0,Caricia Y Herida
126.88,-9.093,0,Le tortillard
85.008,-10.296,2001,WKYA (drop)
133.699,-12.839,0,Teräslintu
118.975,-13.71,0,Now's The Time To Fall In Love
102.408,-2.119,0,Grim Prospects (Gross Prospects - Bad Trip Remix)
112.006,-14.438,1961,Mangos
45.527,-13.002,0,A Distant Voice
85.621,-12.004,2006,Openbare Weg
108.061,-8.37,2000,President Johnson
216.195,-11.829,1995,Lead Me Lord
132.428,-6.29,0,Spontanous Combustion
168.307,-15.761,0,Choro
140.956,-27.433,0,Ma Louise
130.016,-5.701,1991,I Want You (Forever)
175.769,-8.709,1997,Hate
100.194,-13.627,2005,I Can't Stop Loving You
151.911,-11.479,1985,Thank You Lord
119.691,-6.302,0,How Can You Call That Beautiful (Stewkey Vocal)
161.976,-10.466,0,Cheatin' In The Next Room
172.398,-9.275,1971,Candy Man
109.823,-37.398,0,I See The Boys Of Summer
90.101,-13.836,0,Three Is a Crowd
116.473,-7.103,1994,On Bended Knee
126.821,-13.495,0,My Four Reasons
111.191,-15.144,1971,Little Girl (LP Version)
125.508,-12.991,0,Eternamente Amame
137.888,-6.01,1999,Niev nietch nievitch
150.012,-5.58,0,Come Over
108.367,-4.313,0,Blue Taxi
173.482,-17.285,0,I Want Love (Tween You & Me) (Album Version)
110.745,-5.931,2009,White Feather
130.027,-14.248,1995,Christlike Roche
110.168,-12.651,0,You Rascal You
97.976,-16.056,0,Sympathy
119.979,-5.913,2007,They Say (Album)
156.968,-5.541,0,Simon's Folly
188.886,-6.019,1999,Crawl Before You Ball (Album Version)
133.306,-4.953,2001,Medicate Myself
152.267,-18.114,1990,Biding Her Time
166.275,-11.061,0,More And More  (LP Version)
114.971,-7.04,0,Cowboy Ways
144.651,-15.358,0,Brasas Vivas
152.005,-11.213,0,Kolomeyke
155.074,-5.904,2009,In This Life
61.971,-8.095,1991,Groovin' In The Midnight
124.04,-7.982,1997,Waiting
191.196,-8.804,0,A'chek Ouyounik (2009 Digital Remaster)
152.127,-5.699,2005,Hell
100.023,-5.152,0,Hips Don't Lie (featuring Wyclef Jean)
192.688,-9.965,0,Juoksuhauta-twist (Elämä juoksuhaudoissa)
154.322,-11.976,1988,I Got Over It (Album Version)
236.006,-10.229,0,One Less Bell To Answer
150.666,-6.284,0,Festa
175.421,-3.818,1984,Te Hacen Falta Vitaminas
104.153,-4.633,0,Sense And Trick
127.278,-5.602,0,Fire (Oscar G Space Vocal Mix)
160.165,-5.157,0,Hanging On (Medium Key Performance Track Without Background Vocals)
86.091,-1.925,0,Grim Prospects (Version 2 Remix)
149.94,-5.21,2001,Christmas In Jamaica
135.78,-12.717,2001,Gossippo Perpetuo
122.967,-12.28,0,2190 Dias Contigo
142.024,-9.748,0,No Control
135.535,-4.878,2010,The Vitalized Shell
139.189,-23.988,1989,Mozart
128.598,-9.414,0,Ciao Milan
163.445,-9.741,2004,Lend Me Your Chopper
114.027,-11.965,1971,Letter To Heaven
111.316,-12.779,0,Heaven is Where The Heart Is
105.994,-8.403,2006,Inside Job
88.489,-13.251,0,Take A Look  (LP Version)
118.433,-5.884,2009,The Czar: Usurper/Escape/Martyr/Spiral (Album Version)
96.007,-6.929,0,Bulgarian Dream
187.807,-4.198,0,Amalgama
181.115,-6.998,1991,Born and Raised In Compton
148.357,-12.772,0,We're Gonna Go Fishin'
136.164,-18.147,0,Robbers Kill Cop
126.941,-7.661,2009,Relax
159.582,-17.308,0,Sweet By And By
89.495,-28.347,1986,Orgofart
102.259,-2.869,1988,Bitch Is Back
107.529,-7.309,1998,Naked Albino
99.408,-15.351,0,Johnny Loves Me (LP Version)
79.731,-25.694,0,Dearly Beloved
188.502,-9.435,0,The Look Of Love
133.729,-4.793,1998,Cooler Than You
139.136,-17.623,0,Taryns Deepest Fear
193.693,-6.2,1994,Summer Dying Fast
76.693,-19.821,0,Still
126.95,-9.632,0,Snapshot
144.812,-5.671,0,End Of The Road (Head Hornys Remix)
138.003,-11.708,0,7 Miles
130.284,-16.968,1999,The Frail
152.013,-13.038,2010,Para Milladoiro
159.968,-10.647,0,Stone Cold Fingers (Bonus Track)
75.031,-4.172,2005,Snowball
