1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
"('mississippi', 0.9)","('moon', 0.7)","('fixin', 0.7)","('darling', 0.9)","('its', 0.97)","('its', 0.87)","('you', 0.79)","('need', 0.77)","('town', 0.83)","('mich', 1.0)"
"('boweavil', 0.9)","('going', 0.7)","('die', 0.7)","('molly', 0.9)","('des', 0.93)","('dont', 0.77)","('song', 0.77)","('life', 0.77)","('youre', 0.82)","('vida', 1.0)"
"('writing', 0.7)","('thing', 0.6)","('blues', 0.6)","('forget', 0.9)","('world', 0.73)","('for', 0.75)","('night', 0.73)","('dont', 0.76)","('aint', 0.8)","('parasitic', 1.0)"
"('paper', 0.7)","('stop', 0.6)","('sleepy', 0.5)","('easy', 0.9)","('you', 0.67)","('just', 0.75)","('your', 0.7)","('let', 0.76)","('say', 0.78)","('legs', 1.0)"
"('got', 0.7)","('that', 0.6)","('man', 0.5)","('auprès', 0.9)","('the', 0.62)","('little', 0.71)","('never', 0.7)","('red', 0.75)","('eyes', 0.78)","('gimme', 1.0)"
"('the', 0.7)","('down', 0.5)","('smoke', 0.45)","('mon', 0.9)","('woman', 0.6)","('time', 0.7)","('make', 0.67)","('home', 0.74)","('mind', 0.77)","('später', 1.0)"
"('blues', 0.64)","('blues', 0.43)","(None, None)","('arbre', 0.9)","('your', 0.58)","('blue', 0.7)","('dont', 0.66)","('little', 0.74)","('feel', 0.77)","('twins', 1.0)"
"('raineys', 0.6)","('car', 0.4)","(None, None)","('spell', 0.8)","('man', 0.56)","('bit', 0.68)","('love', 0.65)","('god', 0.72)","('que', 0.77)","('hello', 1.0)"
"('black', 0.6)","('street', 0.4)","(None, None)","('put', 0.8)","('will', 0.53)","('love', 0.66)","('the', 0.62)","('know', 0.72)","('gone', 0.76)","('real', 1.0)"
"('bottom', 0.6)","('south', 0.3)","(None, None)","('conguitos', 0.8)","('blues', 0.5)","('blues', 0.65)","('for', 0.53)","('get', 0.69)","('stop', 0.74)","('rette', 1.0)"
